#{"t_start": 1763988852.6033514, "env_id": "None"}
r,l,t
985.0,200,212.748123
985.0,200,213.420372
985.0,200,214.147072
985.0,200,214.929395
985.0,200,215.644438
985.0,200,216.306526
985.0,200,217.053805
985.0,200,217.719792
985.0,200,218.422928
985.0,200,219.077753
985.0,200,219.762286
985.0,200,220.426698
985.0,200,221.171166
985.0,200,221.847136
985.0,200,222.530053
985.0,200,223.214836
985.0,200,223.864518
985.0,200,224.790149
985.0,200,226.0876
985.0,200,227.266283
985.0,200,228.405494
985.0,200,229.500532
985.0,200,230.603808
985.0,200,231.88827
985.0,200,233.146304
985.0,200,234.316538
985.0,200,239.420974
985.0,200,240.576976
985.0,200,241.250984
985.0,200,242.217013
985.0,200,242.955275
985.0,200,243.869224
985.0,200,244.762469
985.0,200,245.527211
985.0,200,246.412612
985.0,200,247.098666
985.0,200,247.992495
985.0,200,248.768828
985.0,200,249.565004
985.0,200,250.65088
985.0,200,251.704942
-359.0,200,252.892442
985.0,200,254.470076
985.0,200,255.923086
985.0,200,257.373635
985.0,200,258.731334
985.0,200,260.053491
985.0,200,260.876636
-519.0,200,261.698221
985.0,200,262.732989
985.0,200,263.432312
985.0,200,264.351467
985.0,200,265.407022
985.0,200,266.117584
985.0,200,267.112957
985.0,200,267.825187
985.0,200,268.798212
-591.0,200,269.684441
985.0,200,270.410148
985.0,200,271.439444
985.0,200,272.687367
985.0,200,273.49063
985.0,200,274.679098
985.0,200,275.594227
-615.0,200,276.375521
985.0,200,277.288528
985.0,200,278.009209
985.0,200,278.971309
-615.0,200,279.909931
985.0,200,280.721675
-615.0,200,281.62049
985.0,200,282.340091
985.0,200,283.257592
-615.0,200,284.28659
985.0,200,285.094485
841.0,200,286.041953
985.0,200,290.813421
985.0,200,291.945554
985.0,200,293.216754
985.0,200,294.392738
985.0,200,295.504188
985.0,200,296.898192
985.0,200,298.136352
985.0,200,299.435052
-359.0,200,300.570231
977.0,200,301.70377
985.0,200,302.8184
217.0,200,304.00234
985.0,200,305.208678
985.0,200,306.508255
-551.0,200,307.592557
985.0,200,308.625765
985.0,200,309.754293
985.0,200,310.916002
-615.0,200,312.082846
-607.0,200,313.439483
985.0,200,314.609853
-615.0,200,315.672251
985.0,200,316.859801
985.0,200,318.105391
889.0,200,319.447335
977.0,200,320.5725
985.0,200,321.778917
985.0,200,322.934004
985.0,200,324.168027
977.0,200,325.482016
985.0,200,326.5615
985.0,200,327.770609
-239.0,200,328.964985
985.0,200,330.221715
985.0,200,331.466195
985.0,200,332.751395
-158.0,200,333.961241
985.0,200,335.184707
985.0,200,336.277127
-127.0,200,337.550508
985.0,200,338.729281
985.0,200,339.956849
