#{"t_start": 1763990325.8448906, "env_id": "None"}
r,l,t
-28.4,14,0.103637
-10.3,14,0.122532
-25.3,14,0.144764
-20.0,1,0.147343
-24.6,53,0.228442
-35.9,23,0.266397
-20.7,31,0.308743
-24.7,106,0.703574
-36.6,19,0.752562
278.6,200,1.510979
373.7,179,1.856467
644.5,200,2.116097
-281.0,112,2.258781
677.870962,178,2.498251
838.8,200,3.145519
863.7,200,3.730805
-512.3,200,4.120337
-5.1,5,4.126419
-526.3,200,4.501052
813.0,200,4.755448
807.0,200,5.003837
-555.0,200,5.352403
-527.1,200,5.950255
870.6,200,6.500223
896.9,200,6.915293
855.6,200,7.568432
857.1,200,7.854477
-578.9,200,8.386908
864.1,200,9.094453
925.6,200,9.680272
955.7,200,10.24552
962.7,200,10.900598
-564.8,200,11.46052
-594.4,200,11.720955
966.9,200,11.981807
974.8,200,12.362242
979.9,200,12.643677
972.9,200,12.90606
985.0,200,13.177321
979.9,200,13.487389
958.9,200,13.867282
977.0,200,14.116126
-615.0,200,14.379914
-604.1,200,14.705731
-604.1,200,15.197317
-603.1,200,15.566273
-602.0,200,15.830536
972.9,200,16.115312
533.9,112,16.42305
979.9,200,16.685175
-611.1,200,16.942391
980.0,200,17.306342
-609.1,200,17.945555
-614.0,200,18.470001
-606.2,200,19.100079
902.1,200,19.67432
940.7,200,20.310499
942.3,200,20.908861
-562.957894,200,21.521199
978.0,200,25.048339
979.9,200,25.752093
-609.2,200,26.405449
972.9,200,27.098383
974.8,200,27.717691
654.9,135,28.032237
972.0,200,28.635221
977.0,200,29.002607
979.9,200,29.378414
979.9,200,29.994537
985.0,200,30.634406
-611.1,200,31.352512
985.0,200,32.101202
979.9,200,32.531869
-615.0,200,32.990094
-614.0,200,33.250625
985.0,200,33.587036
978.0,200,34.230619
979.9,200,34.639052
-615.0,200,35.011032
985.0,200,35.689224
963.7,200,36.040981
979.9,200,36.302568
974.8,200,36.671777
963.7,200,37.022494
959.5,200,37.290502
-613.0,200,37.558165
-611.1,200,38.027255
979.9,200,38.650387
985.0,200,39.264233
-600.5,200,39.902317
985.0,200,40.56813
-615.0,200,41.164493
-615.0,200,41.548255
979.9,200,41.802792
974.8,200,42.288521
-615.0,200,42.5366
964.6,200,42.798605
-612.1,200,43.059756
-594.7,200,43.451984
954.4,200,43.719441
969.7,200,43.9745
954.4,200,44.244253
985.0,200,44.552455
985.0,200,45.268051
985.0,200,45.985234
-615.0,200,46.570802
-606.3,200,47.342239
-612.1,200,47.715804
974.8,200,47.978367
-609.2,200,48.253665
974.8,200,50.438893
953.5,200,50.789738
969.7,200,51.252424
979.9,200,51.630496
-615.0,200,52.002021
974.8,200,52.25784
985.0,200,52.524532
985.0,200,53.158483
979.9,200,53.78387
-612.1,200,54.317072
985.0,200,54.706423
985.0,200,54.9645
985.0,200,55.236542
979.9,200,55.529398
979.9,200,56.013678
978.0,200,56.532321
-612.1,200,56.79923
985.0,200,57.218313
-612.1,200,57.480652
985.0,200,57.870008
985.0,200,58.526286
985.0,200,59.128126
-615.0,200,59.719073
985.0,200,60.331022
985.0,200,60.680362
985.0,200,61.057476
-615.0,200,61.525497
-615.0,200,61.974429
985.0,200,62.624361
-612.1,200,62.89746
985.0,200,63.157365
985.0,200,63.426665
-615.0,200,63.993924
-615.0,200,64.616443
985.0,200,65.149287
985.0,200,65.817809
979.9,200,66.531683
985.0,200,67.136959
985.0,200,67.790762
-615.0,200,68.438437
985.0,200,69.165448
985.0,200,69.811416
985.0,200,70.444387
-615.0,200,71.119496
-615.0,200,71.672242
985.0,200,72.369344
985.0,200,72.705482
-615.0,200,72.980084
985.0,200,73.568593
-615.0,200,74.220159
985.0,200,76.837121
985.0,200,77.10223
-615.0,200,77.634653
985.0,200,78.327529
985.0,200,78.949574
985.0,200,79.518568
-615.0,200,79.767674
985.0,200,80.014417
985.0,200,80.489463
985.0,200,80.737867
985.0,200,80.989406
985.0,200,81.237236
-615.0,200,81.61662
985.0,200,81.962188
985.0,200,82.215294
979.9,200,82.505639
-615.0,200,82.835449
-615.0,200,83.272154
985.0,200,83.525471
985.0,200,83.785412
-615.0,200,84.0464
-615.0,200,84.463511
-615.0,200,85.007648
985.0,200,85.292014
-615.0,200,85.678217
-615.0,200,86.064017
985.0,200,86.49064
985.0,200,87.116521
985.0,200,87.464754
-615.0,200,87.731387
985.0,200,88.000277
985.0,200,88.334236
985.0,200,88.769619
985.0,200,89.066161
-615.0,200,89.322336
985.0,200,89.588281
985.0,200,89.993487
-615.0,200,90.249436
-615.0,200,90.507227
985.0,200,90.772211
-615.0,200,91.29033
-615.0,200,91.628542
985.0,200,91.890657
-612.1,200,92.140345
-615.0,200,92.606194
985.0,200,93.076398
985.0,200,93.376331
985.0,200,93.63045
985.0,200,94.120605
985.0,200,94.372668
-615.0,200,97.081855
985.0,200,97.419268
985.0,200,97.673747
985.0,200,98.294624
985.0,200,98.857504
985.0,200,99.538828
985.0,200,100.157337
985.0,200,100.803547
985.0,200,101.148738
985.0,200,101.409342
-615.0,200,101.666697
985.0,200,102.030692
985.0,200,102.444698
-615.0,200,102.741278
985.0,200,103.005785
985.0,200,103.266542
985.0,200,103.794633
-615.0,200,104.313779
985.0,200,104.97242
-615.0,200,105.550153
-615.0,200,106.213653
985.0,200,106.59436
985.0,200,106.848046
985.0,200,107.104594
-615.0,200,107.812671
985.0,200,108.312886
985.0,200,108.580806
985.0,200,108.888064
985.0,200,109.249383
985.0,200,109.55724
985.0,200,109.81209
-615.0,200,110.149103
985.0,200,110.672921
985.0,200,110.923954
985.0,200,111.177011
985.0,200,111.486503
985.0,200,111.841166
-615.0,200,112.099788
-615.0,200,112.362182
985.0,200,112.62576
985.0,200,112.995311
985.0,200,113.35865
-615.0,200,113.620688
985.0,200,113.888053
985.0,200,114.220712
-615.0,200,114.734385
-615.0,200,115.307232
985.0,200,116.0223
985.0,200,116.587782
985.0,200,117.21377
985.0,200,120.594158
-615.0,200,121.280075
-615.0,200,121.817486
985.0,200,122.400491
985.0,200,123.017413
985.0,200,123.584016
985.0,200,124.327245
-615.0,200,124.933776
-615.0,200,125.600335
985.0,200,126.15869
-615.0,200,126.851466
985.0,200,127.445573
985.0,200,128.121835
985.0,200,128.787621
985.0,200,129.448377
-615.0,200,130.13138
985.0,200,130.773682
-615.0,200,131.441481
985.0,200,132.029003
985.0,200,132.687671
-615.0,200,133.326221
985.0,200,134.091322
-615.0,200,134.708291
-615.0,200,135.301717
985.0,200,135.951946
985.0,200,136.548303
-615.0,200,137.091586
985.0,200,137.717046
985.0,200,138.367015
985.0,200,139.131724
-615.0,200,139.726721
-615.0,200,140.406364
-615.0,200,141.10948
985.0,200,141.790324
985.0,200,142.413866
985.0,200,143.214951
-615.0,200,143.912888
-615.0,200,144.671569
985.0,200,145.232747
985.0,200,145.520104
985.0,200,145.869169
985.0,200,146.22856
985.0,200,146.495918
985.0,200,146.753173
985.0,200,147.009103
985.0,200,147.561136
985.0,200,148.195282
-615.0,200,148.984241
985.0,200,149.46493
-615.0,200,149.729209
985.0,200,152.346747
-615.0,200,152.651972
985.0,200,153.224074
985.0,200,153.49731
985.0,200,153.7529
985.0,200,154.024045
985.0,200,154.439342
985.0,200,154.918617
985.0,200,155.189324
985.0,200,155.464335
985.0,200,155.973958
985.0,200,156.243977
985.0,200,156.511064
985.0,200,156.776168
-615.0,200,157.147528
-615.0,200,157.554076
985.0,200,157.823154
985.0,200,158.089218
985.0,200,158.413563
985.0,200,158.793245
985.0,200,159.061364
-615.0,200,159.318968
985.0,200,159.586975
985.0,200,160.094914
-615.0,200,160.361018
985.0,200,160.686235
985.0,200,160.965154
985.0,200,161.450996
985.0,200,161.723859
-615.0,200,161.991257
985.0,200,162.257689
985.0,200,162.803372
985.0,200,163.157293
985.0,200,163.466413
985.0,200,164.258613
-615.0,200,164.819054
985.0,200,165.556186
985.0,200,166.336684
985.0,200,167.408583
-615.0,200,168.433468
985.0,200,168.888508
-615.0,200,169.16018
985.0,200,169.43563
-615.0,200,169.948242
985.0,200,170.249068
-615.0,200,170.513237
985.0,200,170.772687
985.0,200,171.068924
985.0,200,171.540308
985.0,200,171.809957
985.0,200,173.800406
985.0,200,174.437508
-615.0,200,175.062872
-615.0,200,175.654134
985.0,200,175.957065
985.0,200,176.291991
-615.0,200,176.741364
985.0,200,177.267097
-615.0,200,177.527019
985.0,200,177.838226
-615.0,200,178.305209
-615.0,200,178.636681
985.0,200,178.906713
985.0,200,179.175709
-615.0,200,179.973707
985.0,200,180.643404
985.0,200,181.337026
985.0,200,181.969247
-615.0,200,182.650184
985.0,200,182.92718
-615.0,200,183.181967
985.0,200,183.48002
985.0,200,183.774337
985.0,200,184.111941
-615.0,200,184.354895
985.0,200,184.606056
985.0,200,184.848824
-615.0,200,185.31926
985.0,200,186.105558
985.0,200,186.6734
985.0,200,187.290359
985.0,200,187.686703
985.0,200,188.269167
985.0,200,188.855546
985.0,200,189.50439
-615.0,200,190.039385
985.0,200,190.651851
-615.0,200,191.138927
985.0,200,191.608609
985.0,200,192.304488
985.0,200,193.014126
-615.0,200,193.589177
985.0,200,194.093595
-615.0,200,194.535994
985.0,200,195.099144
985.0,200,195.621535
-615.0,200,196.161095
985.0,200,196.632195
985.0,200,197.120242
-615.0,200,197.625147
985.0,200,199.806979
985.0,200,200.255922
985.0,200,200.525946
985.0,200,200.993833
985.0,200,201.579431
985.0,200,202.154168
985.0,200,202.767068
985.0,200,203.354423
985.0,200,204.331222
-615.0,200,204.992424
-615.0,200,205.629983
985.0,200,206.027167
985.0,200,206.283326
985.0,200,206.601055
-615.0,200,206.874141
985.0,200,207.378685
985.0,200,207.648171
-615.0,200,207.910069
985.0,200,208.186831
-615.0,200,208.720461
985.0,200,209.315057
985.0,200,210.16698
-615.0,200,210.579263
-615.0,200,210.862069
985.0,200,211.128201
985.0,200,211.650236
-615.0,200,211.91524
985.0,200,212.177232
985.0,200,212.43636
985.0,200,212.942983
-615.0,200,213.200726
985.0,200,213.500168
985.0,200,213.762523
985.0,200,214.270499
985.0,200,214.530259
985.0,200,214.810251
985.0,200,215.076148
985.0,200,215.445355
985.0,200,216.103966
985.0,200,216.461637
985.0,200,216.905934
985.0,200,217.250267
985.0,200,217.650711
985.0,200,218.28373
-615.0,200,218.872929
985.0,200,219.55321
985.0,200,220.126257
-615.0,200,220.48417
985.0,200,220.87305
985.0,200,221.606983
-615.0,200,224.737146
985.0,200,225.154407
985.0,200,225.479791
985.0,200,225.74527
985.0,200,226.01168
985.0,200,226.420959
985.0,200,226.755197
985.0,200,227.018945
985.0,200,227.787023
985.0,200,228.250225
-615.0,200,228.536958
985.0,200,228.79926
985.0,200,229.065037
985.0,200,229.666594
-615.0,200,230.327306
-615.0,200,231.00543
985.0,200,231.656796
985.0,200,232.325814
-615.0,200,233.097252
-615.0,200,233.8931
985.0,200,234.430011
985.0,200,234.749304
-615.0,200,235.104845
-615.0,200,235.364407
985.0,200,235.618975
985.0,200,235.876009
-615.0,200,236.275365
985.0,200,236.555038
985.0,200,236.816077
-615.0,200,237.081416
-615.0,200,237.428515
-615.0,200,237.826005
-615.0,200,238.090661
985.0,200,238.394914
985.0,200,238.661866
985.0,200,239.220428
-615.0,200,239.881435
985.0,200,240.222337
985.0,200,240.57678
985.0,200,240.838995
-615.0,200,241.112959
985.0,200,241.382984
985.0,200,241.910722
985.0,200,242.315267
985.0,200,242.639445
-615.0,200,243.004516
985.0,200,243.423142
-615.0,200,243.684941
985.0,200,243.949334
985.0,200,244.414381
-615.0,200,246.6768
-615.0,200,246.958972
985.0,200,247.491395
985.0,200,247.754778
-615.0,200,248.023047
985.0,200,248.470237
985.0,200,249.05525
985.0,200,249.564882
985.0,200,249.98941
985.0,200,250.587131
985.0,200,251.550504
985.0,200,252.158453
-615.0,200,252.647258
985.0,200,253.273481
985.0,200,253.902927
985.0,200,254.533966
985.0,200,255.199185
-615.0,200,255.854467
985.0,200,256.494021
985.0,200,257.45108
985.0,200,258.064075
