#{"t_start": 1763989766.1521366, "env_id": "None"}
r,l,t
-29.6,17,0.049891
-17.4,10,0.066951
-20.0,1,0.067994
-9.0,18,0.097237
-20.0,1,0.098285
-30.2,15,0.127488
-24.0,3,0.130857
-23.2,4,0.140187
-20.1,2,0.144773
-20.4,14,0.16291
-9.0,13,0.189626
-46.3,50,0.340475
-17.3,10,0.366256
166.2,111,0.623697
39.2,50,0.716977
-2.2,10,0.733224
-2.1,7,0.746886
-31.5,24,0.783631
-26.5,15,0.811723
6.6,146,1.09048
-55.7,58,1.214115
-19.1,6,1.223874
64.7,30,1.27912
-18.0,8,1.297907
230.3,99,1.472085
-39.2,72,1.614964
46.6,23,1.670034
200.3,79,1.827699
-9.1,7,1.843353
324.9,126,2.082308
736.8,200,2.483084
722.8,200,2.860829
274.4,82,3.035116
-455.3,200,3.472995
-49.0,20,3.500706
79.0,31,3.55454
845.4,200,3.93812
104.0,31,3.985346
829.1,200,4.37854
874.5,200,4.862897
830.7,200,5.354557
-236.3,164,5.662265
-75.2,65,5.789661
497.5,200,6.248364
957.7,200,6.664077
-155.758806,200,7.037049
352.8,200,7.518574
954.9,200,7.906849
129.0,30,7.961356
950.9,200,8.346123
-61.4,200,8.801113
160.9,66,8.933559
621.2,200,9.332456
-180.0,200,9.71949
913.7,200,10.163788
602.8,200,10.523648
-122.3,200,10.860882
932.0,200,11.237864
380.7,200,11.684701
367.0,111,11.874606
-57.2,200,12.252803
451.0,200,12.642081
936.9,200,13.074753
485.9,104,13.24088
954.9,200,13.626246
742.8,200,14.025934
-195.1,200,14.53041
510.7,200,14.939662
966.0,200,15.314828
-93.0,200,15.767768
464.7,200,16.155935
676.0,200,16.538776
781.7,200,16.949694
978.0,200,17.367909
-323.0,200,17.737905
254.6,200,18.09896
73.8,200,18.518749
51.0,28,18.577394
633.0,200,18.942687
794.0,200,19.364205
851.9,200,19.848971
979.9,200,20.285184
878.0,200,21.95367
980.0,200,22.366908
-511.0,200,22.868621
-111.0,200,23.261381
453.9,200,23.633
107.9,200,24.068892
303.0,200,24.454273
720.8,200,24.819796
-141.3,200,25.270151
449.9,200,25.694552
715.9,200,26.070052
-58.0,200,26.437129
355.0,200,26.856132
305.0,200,27.209396
979.9,200,27.576985
610.0,200,27.993749
74.9,195,28.376871
579.0,200,28.758266
978.0,200,29.16075
291.0,200,29.591872
747.9,200,29.965292
854.8,200,30.339892
-367.0,200,30.763303
753.0,200,31.193034
43.9,200,31.560106
522.0,200,31.941484
307.0,200,32.380791
633.0,200,32.771795
985.0,200,33.10219
979.0,200,33.559994
979.0,200,33.928866
979.9,200,34.291011
665.0,200,34.64697
387.0,200,35.074165
721.0,200,35.469998
985.0,200,35.859427
817.0,200,36.246699
881.0,200,36.620842
105.0,200,36.986404
657.0,200,37.391915
979.0,200,37.811442
978.0,200,38.194489
457.0,200,38.629818
833.0,200,39.039559
985.0,200,39.476752
985.0,200,39.893946
833.0,200,40.293864
155.0,200,40.716088
737.0,200,41.073123
979.9,200,41.427796
849.0,200,43.106727
833.0,200,43.522637
297.0,200,43.906838
587.9,200,44.26247
649.0,200,44.72044
985.0,200,45.130156
985.0,200,45.512982
585.0,200,45.998773
841.0,200,46.394698
913.0,200,46.783788
505.0,200,47.20629
985.0,200,47.609666
985.0,200,48.035886
673.0,200,48.453934
985.0,200,48.841933
985.0,200,49.220537
873.0,200,49.58233
985.0,200,50.023897
593.0,200,50.416516
697.0,200,50.781727
729.0,200,51.14197
865.0,200,51.598809
985.0,200,51.96787
881.0,200,52.344996
913.0,200,52.823414
985.0,200,53.257398
961.0,200,53.694043
961.0,200,54.154598
401.0,200,54.569034
803.9,200,54.998051
681.0,200,55.443416
985.0,200,55.84278
905.0,200,56.241412
985.0,200,56.645076
905.0,200,57.083405
985.0,200,57.440673
985.0,200,57.828588
985.0,200,58.255921
593.0,200,58.681785
817.0,200,59.041464
825.0,200,59.414851
913.0,200,59.83876
929.0,200,60.247128
809.0,200,60.660308
881.0,200,61.166874
809.0,200,61.542229
889.0,200,61.916313
985.0,200,62.356073
985.0,200,62.769592
985.0,200,63.13521
985.0,200,64.918045
833.0,200,65.307786
921.0,200,65.69821
793.0,200,66.05245
891.0,200,66.461885
937.0,200,66.821211
905.0,200,67.182766
921.0,200,67.532783
977.0,200,67.959683
961.0,200,68.349968
969.0,200,68.717023
985.0,200,69.139547
985.0,200,69.500949
985.0,200,69.881507
977.0,200,70.340715
985.0,200,70.789931
825.0,200,71.199214
921.0,200,71.569842
953.0,200,72.084701
985.0,200,72.424814
985.0,200,72.837783
985.0,200,73.250551
985.0,200,73.612881
985.0,200,73.97685
857.0,200,74.330513
985.0,200,74.774969
985.0,200,75.154702
761.0,200,75.550562
985.0,200,75.981216
937.0,200,76.410032
985.0,200,76.778543
985.0,200,77.18064
985.0,200,77.682151
985.0,200,78.076929
905.0,200,78.42493
985.0,200,78.871065
969.0,200,79.228026
937.0,200,79.567892
913.0,200,79.953637
945.0,200,80.372929
985.0,200,80.753828
945.0,200,81.099301
961.0,200,81.5246
945.0,200,81.899732
961.0,200,82.344428
913.0,200,82.774797
977.0,200,83.185252
985.0,200,83.576112
969.0,200,83.951118
985.0,200,84.420764
985.0,200,86.065185
985.0,200,86.410098
977.0,200,86.771901
985.0,200,87.226098
985.0,200,87.604596
985.0,200,87.95848
985.0,200,88.303501
985.0,200,88.690546
985.0,200,89.080735
985.0,200,89.45356
985.0,200,89.891173
985.0,200,90.268021
985.0,200,90.654758
985.0,200,91.125928
985.0,200,91.53621
865.0,200,91.919736
985.0,200,92.394001
977.0,200,92.756742
969.0,200,93.1138
985.0,200,93.539705
977.0,200,94.010773
985.0,200,94.376022
977.0,200,94.766472
985.0,200,95.173079
985.0,200,95.560422
977.0,200,95.906113
977.0,200,96.288405
953.0,200,96.757023
985.0,200,97.109546
985.0,200,97.460682
969.0,200,97.842928
985.0,200,98.240486
985.0,200,98.633642
977.0,200,99.028704
985.0,200,99.52289
985.0,200,99.878783
985.0,200,100.326437
985.0,200,100.751766
985.0,200,101.10869
825.0,200,101.466827
977.0,200,101.818612
977.0,200,102.234607
985.0,200,102.59915
985.0,200,102.938793
977.0,200,103.360585
985.0,200,103.771215
985.0,200,104.129602
985.0,200,104.526613
985.0,200,105.024482
985.0,200,105.436084
985.0,200,106.998649
985.0,200,107.369349
985.0,200,107.760134
985.0,200,108.16247
977.0,200,108.562742
977.0,200,109.02181
985.0,200,109.367656
985.0,200,109.704993
977.0,200,110.063454
977.0,200,110.484025
985.0,200,110.848295
977.0,200,111.21098
985.0,200,111.635974
977.0,200,111.99803
985.0,200,112.372434
