#{"t_start": 1763990817.6051302, "env_id": "None"}
r,l,t
0.0,9,0.054609
-27.3,10,0.074235
-1.1,68,0.215626
-12.2,6,0.220995
-21.0,5,0.2301
99.4,69,0.370761
-15.4,6,0.381167
304.6,109,0.667372
-462.6,200,1.034811
-197.1,101,1.283017
45.2,37,1.41714
195.5,92,1.591517
13.0,10,1.616914
691.9,200,2.059168
-25.0,3,2.063013
740.0,200,2.686061
676.7,200,3.199018
-476.8,200,3.467155
-456.5,200,3.679092
-485.7,200,4.089797
21.0,20,4.115682
4.0,10,4.122789
592.6,200,4.429981
-519.0,200,4.734092
-101.1,35,4.772632
684.8,200,5.072958
-151.2,58,5.214983
730.8,200,5.738774
-511.4,200,5.966727
775.0,200,6.173134
780.3,200,6.373403
-523.1,200,6.817058
583.0,165,7.143975
-509.0,200,7.355939
-20.0,1,7.35694
-477.6,200,7.562807
732.0,200,7.88091
-502.2,200,8.3169
653.0,200,8.942703
-464.4,200,9.384644
695.4,200,9.896846
566.0,200,10.341196
619.6,200,10.821522
130.9,37,10.922975
-525.7,200,11.433116
-528.3,200,11.797341
709.8,200,12.102833
803.6,200,12.471104
594.5,178,12.783446
607.9,200,13.085981
794.8,200,13.377339
779.7,200,13.707097
872.7,200,14.208746
939.6,200,14.774728
924.6,200,15.310056
948.9,200,15.796892
933.0,200,16.281615
956.8,200,16.772816
927.5,200,16.984118
931.7,200,17.181396
-603.4,200,17.388649
-592.2,200,17.831927
-598.4,200,18.335114
-596.4,200,18.815
961.0,200,19.185819
-605.1,200,21.354238
958.0,200,21.70615
931.7,200,22.071904
-614.0,200,22.463561
961.8,200,22.86921
-118.0,37,22.908555
626.0,131,23.040969
967.9,200,23.506925
955.9,200,23.771112
954.8,200,23.988856
-610.1,200,24.218937
954.8,200,24.585929
-607.2,200,24.952147
-612.1,200,25.22992
-606.0,200,25.537215
-607.1,200,26.042941
949.8,200,26.64333
973.0,200,27.008972
-602.2,200,27.23808
-604.3,200,27.704814
966.9,200,27.993453
979.0,200,28.326005
971.0,200,28.635901
958.0,200,29.183885
964.0,200,29.636426
974.9,200,30.063614
-612.0,200,30.571617
967.8,200,31.005673
-605.1,200,31.557133
979.0,200,32.157946
979.0,200,32.738241
972.0,200,33.285204
985.0,200,33.756128
965.9,200,34.148463
964.0,200,34.608781
979.0,200,35.046342
979.9,200,35.528924
-611.0,200,36.026303
953.9,200,36.512046
-612.1,200,36.978764
958.0,200,37.420616
967.9,200,38.033997
979.0,200,38.699991
966.9,200,39.099848
972.9,200,39.367135
964.0,200,39.652781
985.0,200,40.038841
978.0,200,40.591014
971.0,200,41.584444
979.9,200,42.093078
-609.1,200,42.538045
950.6,200,42.911803
-610.1,200,45.208216
960.9,200,45.556705
978.0,200,46.073866
-610.0,200,46.513837
-611.1,200,46.913616
967.8,200,47.18484
972.0,200,47.402708
966.9,200,47.722585
968.9,200,47.927102
972.9,200,48.248049
985.0,200,48.567053
972.9,200,48.781202
-613.0,200,49.087392
985.0,200,49.355711
985.0,200,50.03902
985.0,200,50.531973
985.0,200,51.025995
985.0,200,51.481691
985.0,200,51.959025
985.0,200,52.503048
985.0,200,53.056717
-613.0,200,53.507161
-615.0,200,54.010348
-612.1,200,54.464832
978.0,200,54.788972
978.0,200,55.368771
-612.1,200,56.050244
972.0,200,56.724648
985.0,200,57.132978
978.0,200,57.462842
972.9,200,57.755628
978.0,200,58.200865
-614.0,200,58.687183
985.0,200,59.107266
-614.0,200,59.570904
-613.0,200,60.044881
-615.0,200,60.569671
985.0,200,61.028772
985.0,200,61.863972
985.0,200,62.443087
979.0,200,62.893582
985.0,200,63.439668
985.0,200,63.845663
985.0,200,64.271745
979.0,200,64.747101
-612.0,200,65.237057
-614.0,200,65.761687
979.9,200,66.28702
985.0,200,66.661616
978.0,200,66.945819
979.9,200,69.25838
-615.0,200,69.542723
978.0,200,69.841855
985.0,200,70.134194
-615.0,200,70.673902
985.0,200,70.956047
-615.0,200,71.25301
979.9,200,71.554062
979.9,200,71.89606
978.0,200,72.218864
-614.0,200,72.524449
978.0,200,72.807078
-614.0,200,73.168861
-615.0,200,73.868751
-615.0,200,74.186763
985.0,200,74.474408
-612.1,200,74.869911
985.0,200,75.153645
-615.0,200,75.45823
-613.0,200,75.758106
985.0,200,76.003876
985.0,200,76.351484
985.0,200,76.766313
985.0,200,77.214155
985.0,200,77.722022
979.9,200,77.946561
979.9,200,78.169882
972.9,200,78.498166
985.0,200,78.816161
985.0,200,79.525942
985.0,200,80.163011
985.0,200,80.482995
985.0,200,80.755124
985.0,200,81.299209
-614.0,200,81.946294
-615.0,200,82.613981
-615.0,200,83.305462
985.0,200,83.788328
985.0,200,84.283126
985.0,200,84.78602
979.9,200,85.583605
985.0,200,86.193556
985.0,200,86.643445
985.0,200,86.867641
979.9,200,87.237463
985.0,200,87.627491
