run,learning_rate,gamma,mean_reward
1,0.0,0.99,-132.14 ± 91.562
2,0.0,0.99,211.64 ± 1243.332
3,0.001,0.99,254.39 ± 1180.399
4,0.0,0.99,-206.9 ± 0.0
5,0.0,0.98,-15.0 ± 0.0
6,0.0,0.98,-15.0 ± 0.0
7,0.001,0.98,762.54 ± 1554.673
8,0.0,0.98,-98.82 ± 62.403
9,0.0,0.99,429.1 ± 1281.374
10,0.0,0.99,455.33 ± 1254.25
